attempt,wall_s,speedup,clears_noise,record
0,1.3701991592499922,,,
1,0.5718755059999978,2.386035972011867,1,1
2,0.07003631249997966,19.541943613188305,1,1
3,0.07023483400001851,19.508835267243573,1,0
4,0.06531078149998848,21.028805743359428,1,1
5,0.04490562199998749,30.12042492478484,1,1
6,0.05708452449999868,24.085039472314023,1,0
7,0.029585401499957698,46.305921966139834,1,1
8,0.07109060899995256,19.119300265811475,1,0
9,0.029987948500092898,45.424871608021846,1,0
10,0.019237630000020545,70.62700271665969,1,1
11,0.020578702499960855,66.94297515734797,1,0
12,0.017396904499946686,78.8350260844186,1,1
