attempt,wall_s,speedup,clears_noise,record
0,1.3916036417500095,,,
1,0.09204266300000086,15.03446547124831,1,1
2,0.5662850909999975,2.404492132158655,1,0
3,0.09089805049998745,15.159500000640161,1,1
4,0.06996978800000875,19.859499904698048,1,1
5,0.062459541999999146,22.407638727246443,1,1
6,0.055215134999968996,25.59885964062989,1,1
7,0.06729858599999261,20.87334567709805,1,0
8,0.03261228900004198,43.42428134257443,1,1
9,0.025616356499995163,52.657582499631715,1,1
10,0.020675567500006764,69.1148684345205,1,1
11,0.031746095500011506,44.22615110466363,1,0
12,0.03260537250002926,43.021648036027116,1,0
