Fri Sep 11 21:37:39 2026    /workspace/profile/long_run0.prof

         1187729 function calls in 1.690 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1001    1.382    0.001    1.689    0.002 networkx/algorithms/cluster.py:160(_directed_triangles_and_degree_iter)
  1083208    0.174    0.000    0.174    0.000 networkx/algorithms/cluster.py:180(<genexpr>)
    99508    0.132    0.000    0.306    0.000 {built-in method builtins.sum}
        1    0.001    0.001    1.690    1.690 networkx/algorithms/cluster.py:384(clustering)
     3000    0.000    0.000    0.000    0.000 {built-in method builtins.len}
     1001    0.000    0.000    0.000    0.000 networkx/algorithms/cluster.py:170(<genexpr>)
        1    0.000    0.000    0.000    0.000 networkx/classes/graph.py:2012(nbunch_iter)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    1.690    1.690 <class 'networkx.utils.decorators.argmap'> compilation 21:1(argmap_clustering_18)
        1    0.000    0.000    1.690    1.690 networkx/utils/backends.py:541(_call_if_no_backends_installed)
        1    0.000    0.000    0.000    0.000 networkx/classes/digraph.py:1260(is_directed)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 25:1(argmap__directed_triangles_and_degree_iter_22)
        1    0.000    0.000    0.000    0.000 networkx/utils/decorators.py:83(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 networkx/classes/graph.py:472(__contains__)
        1    0.000    0.000    0.000    0.000 networkx/classes/digraph.py:1256(is_multigraph)


