cProfile of style.input_file('bench.py', lines=source) with pycodestyle.USER_CONFIG = None pycodestyle.PROJECT_CONFIG = () style = pycodestyle.StyleGuide(reporter=pycodestyle.BaseReport, paths=[]) rows = [] for i in range(2000): rows.extend(['def function_%d(value):' % i, ' return value + %d' % i]) if i + 1 < 2000: rows.extend(['', '']) source = [row + chr(10) for row in rows]
at pycodestyle d6c38543a95c, the base commit for every attempt.
         1359900 function calls in 0.842 seconds

   Ordered by: internal time
   List reduced from 72 to 14 due to restriction <14>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   127990    0.111    0.000    0.200    0.000 pycodestyle.py:1958(run_check)
     4000    0.109    0.000    0.528    0.000 pycodestyle.py:2018(check_logical)
   343974    0.043    0.000    0.043    0.000 {built-in method builtins.getattr}
    31998    0.035    0.000    0.275    0.000 pycodestyle.py:2065(generate_tokens)
    31999    0.034    0.000    0.064    0.000 /opt/sail/python/cpython-3.12.13-linux-x86_64-gnu/lib/python3.12/tokenize.py:577(_generate_tokens_from_c_tokenizer)
     4000    0.032    0.000    0.043    0.000 pycodestyle.py:1980(build_tokens_line)
        1    0.031    0.031    0.842    0.842 pycodestyle.py:2136(check_all)
     7998    0.025    0.000    0.133    0.000 pycodestyle.py:1968(check_physical)
   127990    0.024    0.000    0.025    0.000 pycodestyle.py:1963(init_checker_state)
     4000    0.023    0.000    0.025    0.000 pycodestyle.py:1534(ambiguous_identifier)
    31997    0.022    0.000    0.177    0.000 pycodestyle.py:2082(maybe_check_physical)
     4000    0.021    0.000    0.023    0.000 pycodestyle.py:830(missing_whitespace)
    39994    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
    31997    0.017    0.000    0.022    0.000 pycodestyle.py:1876(_is_eol_token)


