cProfile of grammar.parse_string(text, parse_all=True) with import random pp.ParserElement.disable_memoization() rnd = random.Random(SEED) ops = ("+", "-", "*", "/") number = pp.CharsNotIn("+-*/()").set_name("number") muldiv = (pp.Literal("*") | pp.Literal("/")).set_name("muldiv") addsub = (pp.Literal("+") | pp.Literal("-")).set_name("addsub") lpar = pp.Suppress("(") rpar = pp.Suppress(")") expr = pp.Forward().set_name("expr") atom = (number | lpar + expr + rpar).set_name("atom") term = (atom + pp.ZeroOrMore(muldiv + atom)).set_name("term") expr <<= term + pp.ZeroOrMore(addsub + term) grammar = expr num = lambda: str(rnd.randint(100000, 999999)) n_terms = 5000 text = num() + "".join(rnd.choice(ops) + num() for _ in range(n_terms - 1))
at pyparsing efd56db4e59f, the base commit for every attempt.
         411379 function calls (358701 primitive calls) in 0.212 seconds

   Ordered by: internal time
   List reduced from 64 to 14 due to restriction <14>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  40113/2    0.081    0.000    0.211    0.106 pyparsing/core.py:928(_parseNoCache)
    28824    0.020    0.000    0.028    0.000 pyparsing/results.py:170(__new__)
    12523    0.015    0.000    0.100    0.000 pyparsing/core.py:4885(parseImpl)
   7525/2    0.014    0.000    0.211    0.106 pyparsing/core.py:4618(parseImpl)
    30113    0.011    0.000    0.014    0.000 pyparsing/core.py:909(preParse)
    28824    0.010    0.000    0.015    0.000 pyparsing/results.py:194(__init__)
    70228    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    11297    0.007    0.000    0.010    0.000 pyparsing/results.py:549(__iadd__)
    52737    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
     5000    0.006    0.000    0.008    0.000 pyparsing/core.py:3943(parseImpl)
    12538    0.006    0.000    0.008    0.000 pyparsing/core.py:2792(parseImpl)
   2524/2    0.005    0.000    0.211    0.106 pyparsing/core.py:5692(parseImpl)
    28826    0.005    0.000    0.005    0.000 pyparsing/util.py:500(deprecate_argument)
    27526    0.004    0.000    0.004    0.000 pyparsing/core.py:924(postParse)


